timestamp,temperature,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_description,Time,Pressure_self_corrected,Pressure_self
1760176800,9.57,8.27,1037,81,6.47,,100,10000,2.57,320,804,Clouds,overcast clouds,2025-10-11 11:00:00+01:00,1037.0,
1760184000,10.41,9.52,1036,77,6.56,,100,10000,1.03,0,804,Clouds,overcast clouds,2025-10-11 13:00:00+01:00,1035.071418090911,1032.1492461071432
1760191200,11.24,10.33,1036,73,6.58,,100,10000,2.06,350,804,Clouds,overcast clouds,2025-10-11 15:00:00+01:00,1036.0,
1760198400,10.41,9.52,1035,77,6.56,,100,10000,2.57,320,804,Clouds,overcast clouds,2025-10-11 17:00:00+01:00,1035.0,
1760205600,10.3,9.42,1035,78,6.64,,100,10000,1.54,0,804,Clouds,overcast clouds,2025-10-11 19:00:00+01:00,1035.0,
1760212800,10.09,9.22,1036,79,6.62,,100,10000,1.54,0,804,Clouds,overcast clouds,2025-10-11 21:00:00+01:00,1036.0,
1760220000,9.95,9.55,1036,80,6.66,,100,10000,1.54,0,804,Clouds,overcast clouds,2025-10-11 23:00:00+01:00,1036.0,
1760227200,9.34,8.37,1035,86,7.12,,100,10000,2.06,70,804,Clouds,overcast clouds,2025-10-12 01:00:00+01:00,1035.0,
1760234400,9.34,8.37,1034,86,7.12,,100,10000,2.06,80,804,Clouds,overcast clouds,2025-10-12 03:00:00+01:00,1034.0,
1760241600,9.57,8.5,1034,87,7.52,,100,10000,2.24,340,804,Clouds,overcast clouds,2025-10-12 05:00:00+01:00,1034.0,
1760248800,9.95,9.09,1034,85,7.55,,100,10000,2.06,320,804,Clouds,overcast clouds,2025-10-12 07:00:00+01:00,1034.0,
1760256000,10.15,9.52,1034,88,8.25,,100,10000,2.57,240,804,Clouds,overcast clouds,2025-10-12 09:00:00+01:00,1034.0,
1760263200,11.52,10.87,1034,82,8.56,,75,10000,2.57,30,803,Clouds,broken clouds,2025-10-12 11:00:00+01:00,1034.0,
1760270400,12.29,11.72,1033,82,9.31,,75,10000,3.6,80,803,Clouds,broken clouds,2025-10-12 13:00:00+01:00,1033.0,
1760277600,12.29,11.64,1032,79,8.76,,75,10000,4.12,80,803,Clouds,broken clouds,2025-10-12 15:00:00+01:00,1030.8218438837887,1027.8805633442619
1760284800,12.76,12.13,1032,78,9.03,,75,10000,4.12,100,803,Clouds,broken clouds,2025-10-12 17:00:00+01:00,1032.0,
1760292000,11.53,10.91,1032,83,8.75,,75,10000,4.12,100,803,Clouds,broken clouds,2025-10-12 19:00:00+01:00,1032.0,
