Time,Pressure_self,timestamp,temperature,feels_like,Pressure_weather,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_description
2025-10-01 08:39:00.128325939+01:00,1018.295593,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:01.189717054+01:00,1018.296738,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:02.251106977+01:00,1018.300476,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:03.312537909+01:00,1018.306351,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:04.373982906+01:00,1018.308563,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:05.435458899+01:00,1018.309784,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:06.496893883+01:00,1018.312531,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:07.558291912+01:00,1018.315506,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:08.619688034+01:00,1018.315506,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:09.681117058+01:00,1018.31749,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:10.742495060+01:00,1018.318634,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:11.803904057+01:00,1018.319702,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:12.865300894+01:00,1018.320541,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:13.926732063+01:00,1018.321152,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:14.988168001+01:00,1018.321533,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:16.049598932+01:00,1018.321152,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:17.111046076+01:00,1018.318176,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:18.172467947+01:00,1018.31604,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:19.233835936+01:00,1018.312531,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:39:20.295192957+01:00,1018.309174,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 17:11:56.847251892+01:00,1020.105972,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:11:57.875591993+01:00,1020.090179,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:11:58.903903008+01:00,1020.074463,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:11:59.932229996+01:00,1020.051651,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:00.960541964+01:00,1020.051651,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:01.158833027+01:00,1020.036621,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:02.220329046+01:00,1020.033722,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:03.281796932+01:00,1020.019989,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:04.343267918+01:00,1020.010986,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:05.404745102+01:00,1020.003357,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:06.466196060+01:00,1019.987183,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:07.527677058+01:00,1019.987183,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
2025-10-01 17:12:08.589183092+01:00,1019.988785,1759334400,18.16,18.04,1021,77,14.07,,75,10000,8.23,210,803,Clouds,broken clouds
